samples - プロット0	value - プロット0	
0	35	
1	37	
2	40	
3	42	
4	44	
5	47	
6	49	
7	52	
8	54	
9	56	
10	59	
11	61	
12	63	
13	66	
14	68	
15	70	
16	73	
17	75	
18	77	
19	80	
20	82	
21	84	
22	87	
23	89	
24	91	
25	94	
26	96	
27	98	
28	101	
29	103	
30	105	
31	108	
32	110	
33	112	
34	114	
35	117	
36	119	
37	121	
38	124	
39	126	
40	128	
41	131	
42	133	
43	135	
44	138	
45	140	
46	142	
47	144	
48	147	
49	149	
50	151	
51	154	
52	156	
53	158	
54	160	
55	163	
56	165	
57	167	
58	170	
59	172	
60	174	
61	176	
62	179	
63	181	
64	183	
65	186	
66	188	
67	190	
68	192	
69	195	
70	197	
71	199	
72	201	
73	204	
74	206	
75	208	
76	211	
77	213	
78	215	
79	217	
80	220	
81	222	
82	224	
83	226	
84	229	
85	231	
86	233	
87	235	
88	238	
89	240	
90	242	
91	244	
92	247	
93	249	
94	251	
95	253	
96	256	
97	258	
98	260	
99	262	
100	264	
101	267	
102	269	
103	271	
104	273	
105	276	
106	278	
107	280	
108	282	
109	285	
110	287	
111	289	
112	291	
113	293	
114	296	
115	298	
116	300	
117	302	
118	305	
119	307	
120	309	
121	311	
122	313	
123	316	
124	318	
125	320	
126	322	
127	324	
128	327	
129	329	
130	331	
131	333	
132	335	
133	338	
134	340	
135	342	
136	344	
137	346	
138	349	
139	351	
140	353	
141	355	
142	357	
143	360	
144	362	
145	364	
146	366	
147	368	
148	370	
149	373	
150	375	
151	377	
152	379	
153	381	
154	384	
155	386	
156	388	
157	390	
158	392	
159	394	
160	397	
161	399	
162	401	
163	403	
164	405	
165	407	
166	410	
167	412	
168	414	
169	416	
170	418	
171	420	
172	423	
173	425	
174	427	
175	429	
176	431	
177	433	
178	436	
179	438	
180	440	
181	442	
182	444	
183	446	
184	448	
185	451	
186	453	
187	455	
188	457	
189	459	
190	461	
191	463	
192	466	
193	468	
194	470	
195	472	
196	474	
197	476	
198	478	
199	481	
200	483	
201	485	
202	487	
203	489	
204	491	
205	493	
206	495	
207	498	
208	500	
209	502	
210	504	
211	506	
212	508	
213	510	
214	512	
215	515	
216	517	
217	519	
218	521	
219	523	
220	525	
221	527	
222	529	
223	531	
224	534	
225	536	
226	538	
227	540	
228	542	
229	544	
230	546	
231	548	
232	550	
233	553	
234	555	
235	557	
236	559	
237	561	
238	563	
239	565	
240	567	
241	569	
242	571	
243	573	
244	576	
245	578	
246	580	
247	582	
248	584	
249	586	
250	588	
251	590	
252	592	
253	594	
254	596	
255	599	
256	601	
257	603	
258	605	
259	607	
260	609	
261	611	
262	613	
263	615	
264	617	
265	619	
266	621	
267	623	
268	626	
269	628	
270	630	
271	632	
272	634	
273	636	
274	638	
275	640	
276	642	
277	644	
278	646	
279	648	
280	650	
281	652	
282	654	
283	657	
284	659	
285	661	
286	663	
287	665	
288	667	
289	669	
290	671	
291	673	
292	675	
293	677	
294	679	
295	681	
296	683	
297	685	
298	687	
299	689	
300	691	
301	693	
302	696	
303	698	
304	700	
305	702	
306	704	
307	706	
308	708	
309	710	
310	712	
311	714	
312	716	
313	718	
314	720	
315	722	
316	724	
317	726	
318	728	
319	730	
320	732	
321	734	
322	736	
323	738	
324	740	
325	742	
326	744	
327	746	
328	748	
329	750	
330	752	
331	754	
332	757	
333	759	
334	761	
335	763	
336	765	
337	767	
338	769	
339	771	
340	773	
341	775	
342	777	
343	779	
344	781	
345	783	
346	785	
347	787	
348	789	
349	791	
350	793	
351	795	
352	797	
353	799	
354	801	
355	803	
356	805	
357	807	
358	809	
359	811	
360	813	
361	815	
362	817	
363	819	
364	821	
365	823	
366	825	
367	827	
368	829	
369	831	
370	833	
371	835	
372	837	
373	839	
374	841	
375	843	
376	845	
377	847	
378	849	
379	851	
380	853	
381	855	
382	857	
383	859	
384	861	
385	863	
386	865	
387	867	
388	869	
389	871	
390	873	
391	875	
392	877	
393	879	
394	881	
395	882	
396	884	
397	886	
398	888	
399	890	
400	892	
401	894	
402	896	
403	898	
404	900	
405	902	
406	904	
407	906	
408	908	
409	910	
410	912	
411	914	
412	916	
413	918	
414	920	
415	922	
416	924	
417	926	
418	928	
419	930	
420	932	
421	934	
422	936	
423	938	
424	940	
425	942	
426	943	
427	945	
428	947	
429	949	
430	951	
431	953	
432	955	
433	957	
434	959	
435	961	
436	963	
437	965	
438	967	
439	969	
440	971	
441	973	
442	975	
443	977	
444	979	
445	981	
446	983	
447	984	
448	986	
449	988	
450	990	
451	992	
452	994	
453	996	
454	998	
455	1000	
456	1002	
457	1004	
458	1006	
459	1008	
460	1010	
461	1012	
462	1014	
463	1016	
464	1017	
465	1019	
466	1021	
467	1023	
468	1025	
469	1027	
470	1029	
471	1031	
472	1033	
473	1035	
474	1037	
475	1039	
476	1041	
477	1043	
478	1045	
479	1046	
480	1048	
481	1050	
