samples - プロット0	value - プロット0	
0	0.563567	
1	0.920081	
2	0.275266	
3	0.629122	
4	0.981652	
5	0.33286	
6	0.682746	
7	0.0313133	
8	0.378564	
9	0.7245	
10	0.0691244	
11	0.412439	
12	0.754445	
13	0.0951456	
14	0.434543	
15	0.772639	
16	0.109437	
17	0.444937	
18	0.779143	
19	0.112057	
20	0.44368	
21	0.774016	
22	0.103065	
23	0.430831	
24	0.757316	
25	0.0825214	
26	0.40645	
27	0.729103	
28	0.0504836	
29	0.370593	
30	0.689435	
31	0.0070104	
32	0.323322	
33	0.638371	
34	0.95216	
35	0.264692	
36	0.575968	
37	0.885991	
38	0.194763	
39	0.502285	
40	0.808561	
41	0.113591	
42	0.417379	
43	0.719927	
44	0.0212356	
45	0.321308	
46	0.620147	
47	0.917753	
48	0.214129	
49	0.509277	
50	0.8032	
51	0.0958986	
52	0.387376	
53	0.677634	
54	0.966674	
55	0.254499	
56	0.541111	
57	0.826512	
58	0.110703	
59	0.393688	
60	0.675467	
61	0.956044	
62	0.23542	
63	0.513598	
64	0.790579	
65	0.0663652	
66	0.340959	
67	0.614362	
68	0.886577	
69	0.157606	
70	0.42745	
71	0.696113	
72	0.963594	
73	0.229898	
74	0.495026	
75	0.758979	
76	0.0217609	
77	0.283372	
78	0.543816	
79	0.803094	
80	0.0612072	
81	0.318159	
82	0.573951	
83	0.828585	
84	0.0820626	
85	0.334387	
86	0.585559	
87	0.835581	
88	0.084456	
89	0.332185	
90	0.578769	
91	0.824212	
92	0.0685154	
93	0.31168	
94	0.55371	
95	0.794605	
96	0.0343681	
97	0.273001	
98	0.510507	
99	0.746886	
100	0.982141	
101	0.216274	
102	0.449287	
103	0.681181	
104	0.91196	
105	0.141624	
106	0.370176	
107	0.597617	
108	0.82395	
109	0.0491762	
110	0.273298	
111	0.496317	
112	0.718236	
113	0.939056	
114	0.158779	
115	0.377407	
116	0.594942	
117	0.811386	
118	0.0267406	
119	0.241008	
120	0.454191	
121	0.66629	
122	0.877307	
123	0.087245	
124	0.296105	
125	0.50389	
126	0.7106	
127	0.916239	
128	0.120807	
129	0.324308	
130	0.526742	
131	0.728111	
132	0.928418	
133	0.127665	
134	0.325852	
135	0.522983	
136	0.719058	
137	0.914081	
138	0.108052	
139	0.300973	
140	0.492847	
141	0.683676	
142	0.87346	
143	0.0622025	
144	0.249905	
145	0.436569	
146	0.622196	
147	0.806789	
148	0.990349	
149	0.172878	
150	0.354378	
151	0.53485	
152	0.714298	
153	0.892721	
154	0.0701228	
155	0.246505	
156	0.421868	
157	0.596215	
158	0.769548	
